id,year,teams,total_pitchers,average_age,runs_per_game,ERA,games_played,games_finished,complete_game,shutouts,shutouts_team,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,BA_bip,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk,errors
80,1942,28,319,28.8,4.17,3.54,2883,1320,1355,207,212,216,25628.2,24807,12021,10075,1071,9633,643,10193,412,44,426,93929,1.344,0.266,8.7,0.4,3.4,3.6,1.06,2718
81,1941,28,330,28.8,4.52,3.9,2868,1403,1298,188,190,237,25350.1,25688,12959,10973,1331,9890,706,10342,382,33,516,96474,1.403,0.275,9.1,0.5,3.5,3.7,1.05,2783
82,1940,29,344,28.5,4.75,4.16,2896,1378,1295,154,159,252,25544.2,26692,13754,11799,1571,9573,656,10907,430,51,480,95915,1.42,0.28,9.4,0.6,3.4,3.8,1.14,2837
83,1939,30,330,28.6,4.86,4.27,2841,1435,1226,147,152,267,25019.1,26681,13804,11878,1445,9582,603,10114,421,49,444,95917,1.449,0.287,9.6,0.5,3.4,3.6,1.06,2839
84,1938,30,348,28.1,4.96,4.3,2936,1599,1333,149,155,243,25754,27587,14572,12310,1681,10117,574,10636,441,45,464,113446,1.464,0.284,9.6,0.6,3.5,3.7,1.05,3618
85,1937,30,338,28.4,4.99,4.34,2967,1582,1381,162,166,242,26030.1,28290,14817,12545,1645,9849,594,11307,423,44,454,114453,1.465,0.291,9.8,0.6,3.4,3.9,1.15,3671
86,1936,23,268,28.5,5.24,4.55,2784,1401,1234,130,134,258,24674,27802,14599,12487,1541,9422,562,9554,477,41,569,109638,1.509,0.298,10.1,0.6,3.4,3.5,1.01,3414
87,1935,24,275,28.2,5.04,4.34,2830,1364,1291,164,165,237,25075.1,27733,14250,12105,1529,9051,498,9610,452,37,439,110524,1.467,0.293,10,0.5,3.2,3.4,1.06,3504
88,1934,24,263,28.5,4.89,4.26,2744,1386,1249,162,167,247,24207.1,26589,13419,11467,1439,8663,479,9799,380,41,441,106332,1.456,0.294,9.9,0.5,3.2,3.6,1.13,3179
89,1933,25,242,29.1,4.55,3.85,2734,1340,1301,177,179,229,24330.1,25557,12445,10417,1172,8045,358,8735,432,35,406,105260,1.381,0.283,9.5,0.4,3,3.2,1.09,3259
